term_id,source_lang,target_lang,source_term,target_term,domain,priority,alias,note,status
ru_0001,ru,zh,транспортное средство,车辆,general,high,,俄语车辆术语,active
ru_0002,ru,zh,автомобиль,汽车,general,high,,俄语汽车术语,active
ru_0003,ru,zh,изготовитель,制造商,general,high,,俄语责任主体,active
ru_0004,ru,zh,тормозная система,制动系统,braking,high,,俄语制动术语,active
ru_0005,ru,zh,система отопления,供暖系统,hvac,high,,俄语暖通术语,active
ru_0006,ru,zh,вентиляция,通风,hvac,medium,,俄语通风术语,active
ru_0007,ru,zh,кондиционирование воздуха,空气调节,hvac,high,,俄语空调术语,active
ru_0008,ru,zh,температура,温度,hvac,medium,,俄语温度术语,active
ru_0009,ru,zh,испытание,试验,test,high,,俄语试验术语,active
ru_0010,ru,zh,требование,要求,general,medium,,俄语法规要求,active
de_0001,de,zh,Fahrzeug,车辆,general,high,,德语车辆术语,active
de_0002,de,zh,Kraftfahrzeug,机动车,general,high,,德语机动车术语,active
de_0003,de,zh,Hersteller,制造商,general,high,,德语责任主体,active
de_0004,de,zh,Genehmigungsbehörde,认证主管机构,certification,high,,德语认证机构,active
de_0005,de,zh,Bremsanlage,制动系统,braking,high,,德语制动术语,active
de_0006,de,zh,Sicherheitsglas,安全玻璃,body,high,,德语安全玻璃,active
de_0007,de,zh,Beleuchtungseinrichtung,照明装置,lighting,high,,德语灯光术语,active
de_0008,de,zh,Prüfung,试验,test,high,,德语试验术语,active
de_0009,de,zh,Anforderung,要求,general,medium,,德语法规要求,active
de_0010,de,zh,Anlage,附件,document,medium,,德语法规附件,active
fr_0001,fr,zh,véhicule,车辆,general,high,,法语车辆术语,active
fr_0002,fr,zh,véhicule à moteur,机动车,general,high,,法语机动车术语,active
fr_0003,fr,zh,constructeur,制造商,general,high,,法语制造商,active
fr_0004,fr,zh,autorité compétente,主管机构,certification,high,,法语主管机构,active
fr_0005,fr,zh,système de freinage,制动系统,braking,high,,法语制动术语,active
fr_0006,fr,zh,dispositif d'éclairage,照明装置,lighting,high,,法语灯光术语,active
fr_0007,fr,zh,émissions,排放,emission,high,,法语排放术语,active
fr_0008,fr,zh,essai,试验,test,high,,法语试验术语,active
fr_0009,fr,zh,exigence,要求,general,medium,,法语法规要求,active
fr_0010,fr,zh,annexe,附件,document,medium,,法语附件,active
ar_0001,ar,zh,مركبة,车辆,general,high,,阿拉伯语车辆术语,active
ar_0002,ar,zh,مركبة آلية,机动车,general,high,,阿拉伯语机动车术语,active
ar_0003,ar,zh,الشركة المصنعة,制造商,general,high,,阿拉伯语制造商,active
ar_0004,ar,zh,نظام الفرامل,制动系统,braking,high,,阿拉伯语制动系统,active
ar_0005,ar,zh,اختبار,试验,test,medium,,阿拉伯语试验,active
es_0001,es,zh,vehículo,车辆,general,high,,西班牙语车辆术语,active
es_0002,es,zh,vehículo de motor,机动车,general,high,,西班牙语机动车术语,active
es_0003,es,zh,fabricante,制造商,general,high,,西班牙语制造商,active
es_0004,es,zh,homologación de tipo,型式认证,certification,high,,西班牙语型式认证,active
es_0005,es,zh,autoridad de homologación,认证主管机构,certification,high,,西班牙语认证主管机构,active
es_0006,es,zh,sistema de frenado,制动系统,braking,high,,西班牙语制动系统,active
es_0007,es,zh,dispositivo de alumbrado,照明装置,lighting,high,,西班牙语照明装置,active
es_0008,es,zh,emisiones,排放,emission,high,,西班牙语排放,active
es_0009,es,zh,ensayo,试验,test,high,,西班牙语试验,active
es_0010,es,zh,requisito,要求,general,medium,,西班牙语要求,active
es_0011,es,zh,reglamento,法规,general,high,,西班牙语法规,active
es_0012,es,zh,anexo,附件,document,medium,,西班牙语附件,active
es_0013,es,zh,párrafo,段落,document,medium,,西班牙语段落,active
es_0014,es,zh,deberá,应,modal,high,,西班牙语义务词,active
es_0015,es,zh,no deberá,不得,modal,high,,西班牙语禁止性义务词,active
id_0001,id,zh,kendaraan,车辆,general,high,,印尼语车辆术语,active
id_0002,id,zh,kendaraan bermotor,机动车,general,high,,印尼语机动车术语,active
id_0003,id,zh,pabrikan,制造商,general,high,,印尼语制造商,active
id_0004,id,zh,persetujuan tipe,型式认证,certification,high,,印尼语型式认证,active
id_0005,id,zh,sistem pengereman,制动系统,braking,high,,印尼语制动系统,active
id_0006,id,zh,perangkat penerangan,照明装置,lighting,high,,印尼语照明装置,active
id_0007,id,zh,emisi,排放,emission,high,,印尼语排放,active
id_0008,id,zh,pengujian,试验,test,high,,印尼语试验,active
id_0009,id,zh,persyaratan,要求,general,medium,,印尼语要求,active
id_0010,id,zh,peraturan,法规,general,high,,印尼语法规,active
id_0011,id,zh,lampiran,附件,document,medium,,印尼语附件,active
id_0012,id,zh,paragraf,段落,document,medium,,印尼语段落,active
id_0013,id,zh,harus,应,modal,high,,印尼语义务词,active
it_0001,it,zh,veicolo,车辆,general,high,,意大利语车辆术语,active
it_0002,it,zh,veicolo a motore,机动车,general,high,,意大利语机动车术语,active
it_0003,it,zh,costruttore,制造商,general,high,,意大利语制造商,active
it_0004,it,zh,omologazione,型式认证,certification,high,,意大利语型式认证,active
it_0005,it,zh,autorità di omologazione,认证主管机构,certification,high,,意大利语认证主管机构,active
it_0006,it,zh,sistema di frenatura,制动系统,braking,high,,意大利语制动系统,active
it_0007,it,zh,dispositivo di illuminazione,照明装置,lighting,high,,意大利语照明装置,active
it_0008,it,zh,emissioni,排放,emission,high,,意大利语排放,active
it_0009,it,zh,prova,试验,test,high,,意大利语试验,active
it_0010,it,zh,requisito,要求,general,medium,,意大利语要求,active
it_0011,it,zh,regolamento,法规,general,high,,意大利语法规,active
it_0012,it,zh,allegato,附件,document,medium,,意大利语附件,active
it_0013,it,zh,paragrafo,段落,document,medium,,意大利语段落,active
it_0014,it,zh,deve,应,modal,high,,意大利语义务词,active
ms_0001,ms,zh,kenderaan,车辆,general,high,,马来语车辆术语,active
ms_0002,ms,zh,kenderaan bermotor,机动车,general,high,,马来语机动车术语,active
ms_0003,ms,zh,pengeluar,制造商,general,high,,马来语制造商,active
ms_0004,ms,zh,kelulusan jenis,型式认证,certification,high,,马来语型式认证,active
ms_0005,ms,zh,sistem brek,制动系统,braking,high,,马来语制动系统,active
ms_0006,ms,zh,peranti pencahayaan,照明装置,lighting,high,,马来语照明装置,active
ms_0007,ms,zh,pelepasan,排放,emission,high,,马来语排放,active
ms_0008,ms,zh,ujian,试验,test,high,,马来语试验,active
ms_0009,ms,zh,keperluan,要求,general,medium,,马来语要求,active
ms_0010,ms,zh,peraturan,法规,general,high,,马来语法规,active
ms_0011,ms,zh,lampiran,附件,document,medium,,马来语附件,active
ms_0012,ms,zh,perenggan,段落,document,medium,,马来语段落,active
ms_0013,ms,zh,hendaklah,应,modal,high,,马来语义务词,active
nl_0001,nl,zh,voertuig,车辆,general,high,,荷兰语车辆术语,active
nl_0002,nl,zh,motorvoertuig,机动车,general,high,,荷兰语机动车术语,active
nl_0003,nl,zh,fabrikant,制造商,general,high,,荷兰语制造商,active
nl_0004,nl,zh,typegoedkeuring,型式认证,certification,high,,荷兰语型式认证,active
nl_0005,nl,zh,goedkeuringsinstantie,认证主管机构,certification,high,,荷兰语认证主管机构,active
nl_0006,nl,zh,remsysteem,制动系统,braking,high,,荷兰语制动系统,active
nl_0007,nl,zh,verlichtingsinrichting,照明装置,lighting,high,,荷兰语照明装置,active
nl_0008,nl,zh,emissies,排放,emission,high,,荷兰语排放,active
nl_0009,nl,zh,proef,试验,test,high,,荷兰语试验,active
nl_0010,nl,zh,eis,要求,general,medium,,荷兰语要求,active
nl_0011,nl,zh,reglement,法规,general,high,,荷兰语法规,active
nl_0012,nl,zh,bijlage,附件,document,medium,,荷兰语附件,active
nl_0013,nl,zh,punt,段落,document,medium,,荷兰语段落,active
nl_0014,nl,zh,moet,应,modal,high,,荷兰语义务词,active
no_0001,no,zh,kjøretøy,车辆,general,high,,挪威语车辆术语,active
no_0002,no,zh,motorvogn,机动车,general,high,,挪威语机动车术语,active
no_0003,no,zh,produsent,制造商,general,high,,挪威语制造商,active
no_0004,no,zh,typegodkjenning,型式认证,certification,high,,挪威语型式认证,active
no_0005,no,zh,godkjenningsmyndighet,认证主管机构,certification,high,,挪威语认证主管机构,active
no_0006,no,zh,bremsesystem,制动系统,braking,high,,挪威语制动系统,active
no_0007,no,zh,belysningsinnretning,照明装置,lighting,high,,挪威语照明装置,active
no_0008,no,zh,utslipp,排放,emission,high,,挪威语排放,active
no_0009,no,zh,prøving,试验,test,high,,挪威语试验,active
no_0010,no,zh,krav,要求,general,medium,,挪威语要求,active
no_0011,no,zh,forskrift,法规,general,high,,挪威语法规,active
no_0012,no,zh,vedlegg,附件,document,medium,,挪威语附件,active
no_0013,no,zh,punkt,段落,document,medium,,挪威语段落,active
no_0014,no,zh,skal,应,modal,high,,挪威语义务词,active
pt_0001,pt,zh,veículo,车辆,general,high,,葡萄牙语车辆术语,active
pt_0002,pt,zh,veículo a motor,机动车,general,high,,葡萄牙语机动车术语,active
pt_0003,pt,zh,fabricante,制造商,general,high,,葡萄牙语制造商,active
pt_0004,pt,zh,homologação,型式认证,certification,high,,葡萄牙语型式认证,active
pt_0005,pt,zh,autoridade de homologação,认证主管机构,certification,high,,葡萄牙语认证主管机构,active
pt_0006,pt,zh,sistema de travagem,制动系统,braking,high,,葡萄牙语制动系统,active
pt_0007,pt,zh,dispositivo de iluminação,照明装置,lighting,high,,葡萄牙语照明装置,active
pt_0008,pt,zh,emissões,排放,emission,high,,葡萄牙语排放,active
pt_0009,pt,zh,ensaio,试验,test,high,,葡萄牙语试验,active
pt_0010,pt,zh,requisito,要求,general,medium,,葡萄牙语要求,active
pt_0011,pt,zh,regulamento,法规,general,high,,葡萄牙语法规,active
pt_0012,pt,zh,anexo,附件,document,medium,,葡萄牙语附件,active
pt_0013,pt,zh,parágrafo,段落,document,medium,,葡萄牙语段落,active
pt_0014,pt,zh,deve,应,modal,high,,葡萄牙语义务词,active
sv_0001,sv,zh,fordon,车辆,general,high,,瑞典语车辆术语,active
sv_0002,sv,zh,motorfordon,机动车,general,high,,瑞典语机动车术语,active
sv_0003,sv,zh,tillverkare,制造商,general,high,,瑞典语制造商,active
sv_0004,sv,zh,typgodkännande,型式认证,certification,high,,瑞典语型式认证,active
sv_0005,sv,zh,godkännandemyndighet,认证主管机构,certification,high,,瑞典语认证主管机构,active
sv_0006,sv,zh,bromssystem,制动系统,braking,high,,瑞典语制动系统,active
sv_0007,sv,zh,belysningsanordning,照明装置,lighting,high,,瑞典语照明装置,active
sv_0008,sv,zh,utsläpp,排放,emission,high,,瑞典语排放,active
sv_0009,sv,zh,provning,试验,test,high,,瑞典语试验,active
sv_0010,sv,zh,krav,要求,general,medium,,瑞典语要求,active
sv_0011,sv,zh,föreskrift,法规,general,high,,瑞典语法规,active
sv_0012,sv,zh,bilaga,附件,document,medium,,瑞典语附件,active
sv_0013,sv,zh,punkt,段落,document,medium,,瑞典语段落,active
sv_0014,sv,zh,ska,应,modal,high,,瑞典语义务词,active
th_0001,th,zh,ยานพาหนะ,车辆,general,high,,泰语车辆术语,active
th_0002,th,zh,ยานยนต์,机动车,general,high,,泰语机动车术语,active
th_0003,th,zh,ผู้ผลิต,制造商,general,high,,泰语制造商,active
th_0004,th,zh,การรับรองแบบ,型式认证,certification,high,,泰语型式认证,active
th_0005,th,zh,ระบบเบรก,制动系统,braking,high,,泰语制动系统,active
th_0006,th,zh,อุปกรณ์ให้แสงสว่าง,照明装置,lighting,high,,泰语照明装置,active
th_0007,th,zh,การปล่อยมลพิษ,排放,emission,high,,泰语排放,active
th_0008,th,zh,การทดสอบ,试验,test,high,,泰语试验,active
th_0009,th,zh,ข้อกำหนด,要求,general,medium,,泰语要求,active
th_0010,th,zh,กฎระเบียบ,法规,general,high,,泰语法规,active
th_0011,th,zh,ภาคผนวก,附件,document,medium,,泰语附件,active
th_0012,th,zh,วรรค,段落,document,medium,,泰语段落,active
vi_0001,vi,zh,xe,车辆,general,high,,越南语车辆术语,active
vi_0002,vi,zh,xe cơ giới,机动车,general,high,,越南语机动车术语,active
vi_0003,vi,zh,nhà sản xuất,制造商,general,high,,越南语制造商,active
vi_0004,vi,zh,phê duyệt kiểu loại,型式认证,certification,high,,越南语型式认证,active
vi_0005,vi,zh,cơ quan phê duyệt,认证主管机构,certification,high,,越南语认证主管机构,active
vi_0006,vi,zh,hệ thống phanh,制动系统,braking,high,,越南语制动系统,active
vi_0007,vi,zh,thiết bị chiếu sáng,照明装置,lighting,high,,越南语照明装置,active
vi_0008,vi,zh,khí thải,排放,emission,high,,越南语排放,active
vi_0009,vi,zh,thử nghiệm,试验,test,high,,越南语试验,active
vi_0010,vi,zh,yêu cầu,要求,general,medium,,越南语要求,active
vi_0011,vi,zh,quy định,法规,general,high,,越南语法规,active
vi_0012,vi,zh,phụ lục,附件,document,medium,,越南语附件,active
vi_0013,vi,zh,đoạn,段落,document,medium,,越南语段落,active
vi_0014,vi,zh,phải,应,modal,high,,越南语义务词,active
en_0041,en,zh,UN Regulation,联合国法规,general_regulation,high,UN Regulation No.,UNECE法规通用表达,active
en_0042,en,zh,approval,认证,general_regulation,high,type approval;approval,法规认证语境下译为认证,active
en_0043,en,zh,approved type,认证型式,general_regulation,medium,approved vehicle type,用于一致性和认证条款,active
en_0044,en,zh,approval number,认证编号,general_regulation,medium,approval mark number,认证标志相关术语,active
en_0045,en,zh,approval mark,认证标志,general_regulation,high,mark of approval,法规认证标记,active
en_0046,en,zh,Contracting Party,缔约方,general_regulation,high,Contracting Parties,UNECE法规常见行政术语,active
en_0047,en,zh,type approval authority,型式认证机构,general_regulation,high,approval authority;Type Approval Authority,法规认证主管机构,active
en_0048,en,zh,transitional provisions,过渡规定,general_regulation,high,transitional provision,法规版本过渡条款,active
en_0049,en,zh,series of amendments,修订系列,general_regulation,high,amendment series,UNECE法规版本表达,active
en_0050,en,zh,scope,适用范围,general_regulation,low,Scope,法规章节标题常见译法,active
en_0051,en,zh,requirements,要求,general_regulation,high,requirement,法规技术要求,active
en_0052,en,zh,performance criteria,性能判据,general_regulation,medium,performance criterion,测试合格判据,active
en_0053,en,zh,pass criteria,通过判据,general_regulation,medium,acceptance criteria,试验通过条件,active
en_0054,en,zh,not obliged to,无义务,legal_expression,low,shall not be obliged to,过渡规定中常见表达,active
en_0055,en,zh,mandatory,强制性,legal_expression,high,compulsory,法规强制要求,active
en_0056,en,zh,not compulsory,非强制性,legal_expression,low,not mandatory,法规豁免或过渡要求,active
en_0057,en,zh,vehicle category,车辆类别,vehicle_general,high,category of vehicle,法规车型分类,active
en_0058,en,zh,power-driven vehicle,动力驱动车辆,vehicle_general,medium,motor vehicle,UN R16适用范围术语,active
en_0059,en,zh,road vehicle,道路车辆,vehicle_general,medium,road vehicles,R100适用范围术语,active
en_0060,en,zh,seating position,座椅位置,vehicle_general,high,seat position,安全带和座椅法规核心术语,active
en_0061,en,zh,front outboard seat,前排外侧座椅,vehicle_general,high,front outboard seating position,R16/R17座椅位置术语,active
en_0062,en,zh,front centre seat,前排中间座椅,vehicle_general,medium,front center seat,座椅位置术语,active
en_0063,en,zh,rear outboard seat,后排外侧座椅,vehicle_general,high,rear outboard seating position,座椅位置术语,active
en_0064,en,zh,rear centre seat,后排中间座椅,vehicle_general,medium,rear center seat,座椅位置术语,active
en_0065,en,zh,occupant,乘员,vehicle_safety,high,occupants,汽车安全法规核心术语,active
en_0066,en,zh,adult occupant,成年乘员,vehicle_safety,medium,adult occupants,R16安全带适用对象,active
en_0067,en,zh,driver,驾驶员,vehicle_safety,high,driver,法规常用主体,active
en_0068,en,zh,passenger,乘客,vehicle_safety,medium,passenger occupant,安全气囊和安全带场景,active
en_0069,en,zh,safety-belt,安全带,seatbelt_restraint,high,seat-belt;safety belt,UN R16核心术语,active
en_0070,en,zh,seat-belt,安全带,seatbelt_restraint,high,safety-belt;safety belt,UN R16核心术语,active
en_0071,en,zh,restraint system,约束系统,seatbelt_restraint,high,restraint systems,R16核心术语,active
en_0072,en,zh,child restraint system,儿童约束系统,seatbelt_restraint,high,CRS,儿童安全法规核心术语,active
en_0073,en,zh,ISOFIX child restraint system,ISOFIX儿童约束系统,seatbelt_restraint,high,ISOFIX CRS,R16/R129相关术语,active
en_0074,en,zh,i-Size child restraint system,i-Size儿童约束系统,seatbelt_restraint,high,i-Size CRS,R16儿童约束系统术语,active
en_0075,en,zh,safety-belt reminder,安全带提醒装置,seatbelt_restraint,high,SBR,R16核心系统术语,active
en_0076,en,zh,strap,织带,seatbelt_restraint,high,webbing,安全带组成部件,active
en_0077,en,zh,webbing,织带,seatbelt_restraint,high,strap,安全带织带术语,active
en_0078,en,zh,securing buckle,锁扣,seatbelt_restraint,high,buckle,安全带组件,active
en_0079,en,zh,buckle,带扣,seatbelt_restraint,high,securing buckle,安全带释放和锁止部件,active
en_0080,en,zh,adjusting device,调节装置,seatbelt_restraint,medium,adjuster,安全带组件,active
en_0081,en,zh,attachment,固定件,seatbelt_restraint,medium,attachments,安全带连接部件,active
en_0082,en,zh,anchorage,固定点,seatbelt_restraint,high,anchorages,安全带或座椅固定结构,active
en_0083,en,zh,lap belt,腰带,seatbelt_restraint,high,two-point belt,安全带类型,active
en_0084,en,zh,diagonal belt,肩带,seatbelt_restraint,high,diagonal strap,安全带类型,active
en_0085,en,zh,three-point belt,三点式安全带,seatbelt_restraint,high,3-point belt,安全带类型,active
en_0086,en,zh,harness belt,全背带式安全带,seatbelt_restraint,medium,harness,安全带类型,active
en_0087,en,zh,crotch strap,裆带,seatbelt_restraint,medium,crotch belt,全背带式安全带组成,active
en_0088,en,zh,retractor,卷收器,seatbelt_restraint,high,belt retractor,安全带核心部件,active
en_0089,en,zh,non-locking retractor,非锁止式卷收器,seatbelt_restraint,medium,Type 1 retractor,R16卷收器类型,active
en_0090,en,zh,manually unlocking retractor,手动解锁式卷收器,seatbelt_restraint,medium,Type 2 retractor,R16卷收器类型,active
en_0091,en,zh,automatically locking retractor,自动锁止式卷收器,seatbelt_restraint,high,Type 3 retractor,R16卷收器类型,active
en_0092,en,zh,emergency locking retractor,紧急锁止式卷收器,seatbelt_restraint,high,Type 4 retractor,安全带重要部件,active
en_0093,en,zh,single sensitivity,单敏感式,seatbelt_restraint,medium,single-sensitive,卷收器响应类型,active
en_0094,en,zh,multiple sensitivity,多敏感式,seatbelt_restraint,medium,multiple-sensitive,卷收器响应类型,active
en_0095,en,zh,pre-loading device,预紧装置,seatbelt_restraint,high,pretensioner;pre-tensioning device,安全带系统术语,active
en_0096,en,zh,tension-reducing device,张力降低装置,seatbelt_restraint,medium,tension reducer,安全带舒适性装置,active
en_0097,en,zh,energy absorption device,能量吸收装置,seatbelt_restraint,high,energy absorber,安全带/座椅安全术语,active
en_0098,en,zh,release button,释放按钮,seatbelt_restraint,medium,buckle release button,安全带带扣术语,active
en_0099,en,zh,locking threshold,锁止阈值,seatbelt_restraint,high,lock threshold,卷收器性能术语,active
en_0100,en,zh,tilt sensitivity,倾斜敏感性,seatbelt_restraint,medium,tilt-sensitive,卷收器测试术语,active
en_0101,en,zh,withdrawal,拉出,seatbelt_restraint,medium,webbing withdrawal,织带卷收测试,active
en_0102,en,zh,retraction,卷回,seatbelt_restraint,medium,webbing retraction,织带卷收测试,active
en_0103,en,zh,breaking strength,断裂强度,seatbelt_restraint,high,tensile strength,织带性能术语,active
en_0104,en,zh,conditioning,预处理,testing,medium,conditioning test,材料试验前处理,active
en_0105,en,zh,abrasion conditioning,磨损预处理,testing,medium,abrasion test conditioning,织带性能测试,active
en_0106,en,zh,dynamic test,动态试验,testing,high,dynamic testing,法规试验通用术语,active
en_0107,en,zh,sled test,滑车试验,testing,high,dynamic sled test,R16/R17动态测试术语,active
en_0108,en,zh,trolley,滑车,testing,medium,test trolley,R16动态试验设备,active
en_0109,en,zh,manikin,人体模型,testing,high,dummy,法规测试假人通用术语,active
en_0110,en,zh,dummy,假人,testing,high,manikin,碰撞测试假人,active
en_0111,en,zh,pelvic displacement,骨盆位移,testing,medium,pelvis displacement,R16性能判据,active
en_0112,en,zh,chest displacement,胸部位移,testing,medium,thorax displacement,R16性能判据,active
en_0113,en,zh,corrosion test,腐蚀试验,testing,high,corrosion,盐雾等环境试验,active
en_0114,en,zh,salt mist chamber,盐雾箱,testing,medium,salt spray chamber,腐蚀试验设备,active
en_0115,en,zh,dust resistance,防尘性能,testing,medium,dust test,安全带卷收器测试,active
en_0116,en,zh,micro-slip,微滑移,testing,medium,micro slip,安全带调节装置测试,active
en_0117,en,zh,airbag,安全气囊,vehicle_safety,high,air bag,乘员保护装置,active
en_0118,en,zh,passenger airbag,乘客安全气囊,vehicle_safety,high,passenger air bag,R16儿童座椅警告语境,active
en_0119,en,zh,warning label,警告标签,vehicle_safety,medium,warning marking,安全提示标识,active
en_0120,en,zh,pictogram,象形图,vehicle_safety,medium,symbol,警告标签中的图形符号,active
en_0121,en,zh,rearward-facing child restraint,后向式儿童约束系统,vehicle_safety,high,rearward facing CRS,R16安全气囊警告术语,active
en_0122,en,zh,active airbag,激活的安全气囊,vehicle_safety,medium,ACTIVE AIRBAG,安全气囊警告标签术语,active
en_0123,en,zh,first level warning,一级警告,seatbelt_reminder,high,first-level warning,SBR术语,active
en_0124,en,zh,second level warning,二级警告,seatbelt_reminder,high,second-level warning,SBR术语,active
en_0125,en,zh,visual warning,视觉警告,seatbelt_reminder,medium,visual signal,SBR警告形式,active
en_0126,en,zh,audible warning,声音警告,seatbelt_reminder,medium,audible signal,SBR警告形式,active
en_0127,en,zh,normal operation,正常运行,seatbelt_reminder,medium,normal vehicle operation,SBR触发条件术语,active
en_0128,en,zh,occupancy detection,乘员检测,seatbelt_reminder,high,occupant detection,SBR测试术语,active
en_0129,en,zh,seat,座椅,seat_headrest,high,seats,R17核心术语,active
en_0130,en,zh,seat assembly,座椅总成,seat_headrest,high,seat unit,R17座椅结构术语,active
en_0131,en,zh,seat anchorage,座椅固定点,seat_headrest,high,seat anchorages,R17核心术语,active
en_0132,en,zh,seat-back,座椅靠背,seat_headrest,high,seat back;backrest,R17核心术语,active
en_0133,en,zh,head restraint,头枕,seat_headrest,high,headrest,R17核心术语,active
en_0134,en,zh,integrated head restraint,整体式头枕,seat_headrest,high,integrated restraint,R17头枕类型,active
en_0135,en,zh,detachable head restraint,可拆卸式头枕,seat_headrest,high,detachable restraint,R17头枕类型,active
en_0136,en,zh,separate head restraint,分离式头枕,seat_headrest,medium,separate restraint,R17头枕类型,active
en_0137,en,zh,forward-facing seat,前向座椅,seat_headrest,high,forward facing seat,R17座椅方向术语,active
en_0138,en,zh,rearward-facing seat,后向座椅,seat_headrest,high,rearward facing seat,R17座椅方向术语,active
en_0139,en,zh,side-facing seat,侧向座椅,seat_headrest,high,side facing seat,R17座椅方向术语,active
en_0140,en,zh,folding seat,折叠座椅,seat_headrest,medium,folding seats,R17排除项术语,active
en_0141,en,zh,adjustment system,调节系统,seat_headrest,high,seat adjustment system,R17座椅调节术语,active
en_0142,en,zh,displacement system,位移系统,seat_headrest,medium,seat displacement system,R17座椅进入后排相关术语,active
en_0143,en,zh,locking system,锁止系统,seat_headrest,high,seat locking system,R17座椅锁止术语,active
en_0144,en,zh,automatic locking,自动锁止,seat_headrest,high,automatically operating locking system,R17座椅要求术语,active
en_0145,en,zh,unlocking control,解锁控制件,seat_headrest,medium,unlocking controls,R17座椅控制件术语,active
en_0146,en,zh,energy dissipation,能量耗散,seat_headrest,high,energy absorption,R17座椅靠背安全术语,active
en_0147,en,zh,radius of curvature,曲率半径,seat_headrest,medium,radii of curvature,座椅表面质量术语,active
en_0148,en,zh,structural strength,结构强度,seat_headrest,high,strength of structure,R17结构性能术语,active
en_0149,en,zh,permanent deformation,永久变形,seat_headrest,medium,permanent deformations,结构强度试验术语,active
en_0150,en,zh,injury risk,伤害风险,vehicle_safety,high,risk of injury,安全法规常用术语,active
en_0151,en,zh,backset,后间距,seat_headrest,high,static backset,R17头枕关键测量术语,active
en_0152,en,zh,H-Point,H点,seat_headrest,high,H point;H-point,座椅设计和测量核心点,active
en_0153,en,zh,R-Point,R点,seat_headrest,high,R point;R-point,制造商定义设计点,active
en_0154,en,zh,intersection point,交点,seat_headrest,medium,IP,头枕有效顶部点,active
en_0155,en,zh,torso line,躯干线,seat_headrest,medium,torso reference line,头枕高度测量术语,active
en_0156,en,zh,torso angle,躯干角,seat_headrest,medium,actual torso angle,座椅姿态测量术语,active
en_0157,en,zh,outboard front seat,前排外侧座椅,seat_headrest,high,front outboard seat,R17强制安装头枕位置,active
en_0158,en,zh,height requirement,高度要求,seat_headrest,medium,height requirements,头枕法规要求,active
en_0159,en,zh,height retention,高度保持,seat_headrest,high,height retention test,R17头枕试验术语,active
en_0160,en,zh,downward load,向下载荷,testing,medium,downward force,头枕高度保持试验,active
en_0161,en,zh,energy absorption test,能量吸收试验,testing,high,energy dissipation test,R17测试术语,active
en_0162,en,zh,headform,头型冲击器,testing,medium,head form,R17碰撞测试工具,active
